1 рпсаю                   9528 -658 298,8 
2 рпсаю б лер.йюпйюя      12674 -2269 350.2 
3 рпсаю                   9017 -919 332.0 
4 рпсаю                   8987 -924 312.5 
5 бнднмюонпмюъ аюьмъ      7638 -451 290.5 
6 люврю "цнпцюг"          8237 -749 288.6 
7 рпсаю рщж2              13334 -2900 402.3 
8 рпсаю рщж2              13138 -2946 344.7 
9 рпсаю рщж2              13050 -2962 324.5 
10 рпсаю                  7166 -606 276.9 
11 нонпю кщо              6402 -455 283.3 
12 яхцмюк цендегхвеяй     5306 -39 281.2 
13 нонпю кщо              6525 -551 281.9 
14 бнднмюонпмюъ аюьмъ     7125 -877 289.0 
15 нонпю кщо              6829 -786 281.4 
16 нонпю кщо              6821 -837 282.9 
17 люврю опж допл 239     3869 34 275.2 
18 люврю опж              3796 33 268.1 
19 люврю опж              3748 29 269.3 
20 люврю опж допл239      3869 -31 274.6 
21 люврю опж              3709 23 269.0 
22 люврю опж              3808 -45 276.8 
23 люврю опж              3714 -16 269.1 
24 люврю опж              3895 -95 264.7 
25 люврю опж              3724 -82 268.3 
26 люврю опж              3876 -154 264.4 
27 люврю опж              3815 -145 264.5 
28 люврю опж              3749 -132 268.1 
29 люврю опж              3712 -120 268.4 
30 нонпю кщо              6604 -1328 280.2 
31 юмреммю "вхмюпю"       3282 1 277.4 
32 люврю яя               7154 -1808 297.7 
33 нонпю кщо              6322 -1507 279.6 
34 депебэъ                793 772 251.3 
35 депебэъ                1357 430 247.9 
36 депебэъ                984 548 250.0 
37 депебэъ                819 612 250.5 
38 депебэъ                1047 451 249.6 
39 люврю опж(нпк-р)       72 796 261.1 
40 нонпю кщо              6026 -1694 275.2 
41 люврю опж(нпк-р)       26 793 261.3 
42 люврю опж(нпк-р)       92 756 261.7 
43 нпк-р йнлокейр 2       93 726 261.7 
44 юмреммю ябъгх(нпк-р)   64 732 258.8 
45 люврю опж (нпк-р)      6 752 261.0 
46 юмреммю ябъгх(нпк-р    65 725 258.9 
47 юмреммю ябъгх(нпк      54 728 257.6 
48 нпк-р йнлокейр 1       19 722 259.2 
49 нонпю кщо              5784 -1846 274.1 
50 юпо 80                 1137 0 245.8 
51 ярнка аопл239          1065 0 244.8 
52 ярнка аопл239          1031 1 245.5 
53 охпюлхдю цендегхве     129 366 254.0 
54 депебн                 126 366 254.5 
55 янямю                  1060 -57 245.5 
56 депебн                 11 359 254.5 
57 юмреммю(ярнийю 1)      805 21 246.4 
58 асдйю йпл59            827 1 249.0 
59 йпл 59 р.1             815 5 247.9 
60 йпл 59 р.2             815 -4 247.9 
61 юмреммю(ярнийю 18)     805 -20 246.4 
62 нонпю кщо              5513 -2040 272.2 
63 янямю                  681 -77 248.3 
64 юпо80                  -1061 307 259.3 
65 йсмц                   -934 224 256.6 
66 нпк-ю йнлок. 2         -979 239 261.8 
67 нпк-ю йнлок. 1         -1007 242 261.9 
68 янямю                  165 -250 252.4 
69 янямю                  125 -244 252.7 
70 мюбея р.1              -991 215 257.7 
71 люврю цпл239 р.2       -194 -118 257.3 
72 мюбея р.2              -995 215 257.8 
73 йсмц р.1               -1008 199 256.7 
74 йсмц р.2               -1003 193 256.7 
75 аепегю                 94 -265 256.9 
76 аепегю                 75 -264 258.5 
77 люврю цпл239 р.1       -275 -120 267.9 
78 йсмц юооюпюрмюъ        -279 -119 253.0 
79 йсмц юцпецюрмюъ        -289 -118 253.6 
80 гдюмхе ядо239 р.1      -319 -108 260.3 
81 гдюмхе ядо239 р.2      -323 -108 260.3 
82 йсмц накерю цпл239     -352 -100 252.9 
83 йсмц кнйюрнпю TESL     -1001 170 256.4 
84 гдюмхе ро р.1          104 -295 249.1 
85 йсмц кнйюрнпю TESL     -1009 165 256.4 
86 гдюмхе ро р.2          86 -295 249.1 
87 ыхр леренбхдхлнярх     -423 -104 254.7 
88 ткчцеп                 -411 -117 261.1 
89 юмреммю олпж           -1416 302 270.9 
90 леренлюврю             -412 -120 260.5 
91 юпо окюрюм             -1388 285 258.5
92 ткчцеп                 -412 -127 261.0
93 юмреммю олпж           -1442 289 265.0
94 ыхр леренбхдхлнярх     -523 -104 255.0
95 юмреммю олпж           -1442 279 264.4
96 рс-154(гнмю пля)       -398 -186 256.4
97 ыхр леренбхдхлнярх     -623 -105 255.8
98 рс-154(гнмю пля)       -446 -186 262.2
99 кеянонкняю             -2044 471 256.6
100 ыхр леренбхдхлнярх    -723 -105 256.3
101 кеянонкняю            -2110 451 259.3
102 йсярш                 -2022 396 256.8
103 ыхр леренбхдхлнярх    -823 -105 256.6
104 йсярш                 -2011 370 254.1
105 юмцюп р.2             -394 -321 254.3
106 кеянонкняю            -2206 434 259.0
107 нонпю кщо             5266 -2681 273.0
108 рс-154 мю ля          149 -549 251.0
109 ыхр леренбхдхлнярх    -923 -105 257.1
110 кеянонкняю            -2271 446 259.1
111 юмцюп р.1             -393 -341 254.4
112 кеянонкняю            -2316 439 259.7
113 люврю нябеыемхъ       -342 -384 263.6
114 ыхр леренбхдхлнярх    -1023 -106 257.4
115 кеянонкняю            -2343 436 260.5
116 кеянонкняю 1          -2958 671 260.2
117 юмцюп р.1             -452 -377 260.2
118 кеянонкняю 5          -2620 526 261.7
119 кеянонкняю            -2405 430 259.1
